"Subject Code","Catalog Number","Description"
"THEA","11502","Prerequisites: permission of instructor.  An introductory course in musical theatre performance to acquaint students with technique, analysis, literature, and professional practices.  This course may be repeated for credit."
"THEA","20990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"THEA","21103","The examination and analysis of the structure and content of scripts for interpretation and conceptualization for theatre directors, designers, actors, and technicians."
"THEA","21223","An introductory course in Stage Management covering the duties of the modern stage manager and the process of designing sound effects and music selections for theatre productions."
"THEA","21303","Prerequisite: THEA 11313 Open only to BFA theatre majors with emphases in Acting, Musical Theatre or Theatre Studies, or permission of instructor.  An intermediate course in acting focusing on realism and scene work."
"THEA","21323","Prerequisite: Open only to BFA Theatre Majors with emphases in Acting, Musical Theatre or Theatre Studies, or permission of instructor.  A performance course focused on somatic attunement, proprioception, character embodiment, and movement analysis in service to physical storytelling. "
"THEA","21333","Prerequisite: Open only to BFA theatre majors with emphases in Acting, Musical Theatre, Theatre Studies, or permission of instructor. A laboratory course for actors focusing on development of breath, resonance,  articulation, focus and intention, and their application to performance. "
"THEA","21403","Prerequisites: THEA 21423, or 21433, or permission of the instructor.  Students will explore different rendering and artistic media used to produce visuals for the purpose of efficiently communicating elements of scenic, costume and lighting designs.  Processes and skills developed will be introduced in both traditional and digital platforms."
"THEA","21413","An introductory course in stage lighting focusing on design and practice."
"THEA","21423","A drawing class that also examines major epochs and cultures through the lens of the stage and production designer in developing an understanding of global history and the development of its artifacts as it is told visually.  This course covers the periods of The Ancients through Mannerism."
"THEA","21433","A drawing class that also examines major epochs and cultures through the lens of the stage and production designer in developing an understanding of global history and the development of its artifacts as it is told visually.  This course covers the periods of Baroque through the 20th Century."
"THEA","30901","Department Permission Required. Practical experience and application of skills in all areas of theatre production, related directly to Theatre TCU productions. May be repeated for credit. "
"THEA","30910","Prerequisite: Permission of the instructor. A variable credit course offering practical experience in acting for students cast in Theatre TCU productions. May be repeated for credit. "
"THEA","30990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"THEA","31000","Prerequisite: Upper division status (at least 54 hours completed) and permission of instructor. Individual honors projects for theatre students who are enrolled in the TCU Honors Program. "
"THEA","31103","Prerequisites:  ENGL 10803 and 20803.  History of western theatre from its origins in ancient Greece to the Spanish Golden Age."
"THEA","31113","Prerequisites:  ENGL 10803 and 20803.  History of western theatre from the French Neo-Classic Period to today."
"THEA","31123","A theatre history course focusing on the cultures (art, music, architecture, religion) of those historical periods which figure prominently in Theatre: classical Greece and Rome, Gothic/Renaissance/Elizabethan, 17th, 18th and 19th Centuries, and early and late 20th Century."
"THEA","31133","Department Permission required. Study and practice in the art of writing plays for the theatre, including dramatic structure, dialogue and characterization.  This course may be repeated for credit."
"THEA","31203"," A course exploring the use of industry standard CAD systems in 2D and 3D drafting for the stage.  Concentration on theatre specific technical drawings, lighting diagrams, and detail drawings using the USITT Recommended best practices as revised in 2022."
"THEA","31213","An advanced course in technical theatre focusing on painting scenery for the stage.  This class explores application, color, and problem solving for the most used styles and attempts towards realism as they have developed through history."
"THEA","31223","Prerequisites: THEA 11233 or permission of instructor.  An advanced production course in costume construction and technology techniques including pattern making, draping (pattern development), millinery (hat making), and other specialties such as mask making and fabric dying. "
"THEA","31303","Prerequisite: Open only to BFA Theatre Majors with emphases in Acting, or permission of instructor. A performance course for actors in which they study and practice the process of auditioning for theatre using prepared monologues, callback scenes, cold readings, and songs."
"THEA","31323","Prerequisite: THEA 21334 or permission of instructor. An advanced laboratory course focusing on vocal skills for actors."
"THEA","31333","Prerequisites: THEA 21303 or permission of instructor.  An advanced acting styles course focusing exclusively on the performance of Shakespearean scenes and monologues."
"THEA","31343","Prerequisite: Permission of instructor. An advanced laboratory course focusing on directing skills including script analysis, conceptualization, and staging resulting in a realized directing project."
"THEA","31353","Open only to BFA Theatre Majors with emphases in Acting, or permission of instructor. An intermediate performance class focused on the study and development of various movement techniques related to the physical connection to text for actors."
"THEA","31363","Prerequisite:  THEA 21333 or permission of instructor.  An intermediate performance class focused on further analysis, exploration, and application of vocal skills in performance as well as vocal health."
"THEA","31373","Prerequisite: Open only to BFA Theatre Majors with emphases in Acting, or by permission of instructor.  An advanced performance class focused on the study and development of various movement techniques, styles, and skills related to the physical development of character on stage. "
"THEA","31383","Prerequisite: THEA 31363 or permission of the instructor.  An advanced performance class focused on expanding the actor's vocal dexterity and presence in performance."
"THEA","31403","Prerequisite: Permission of instructor.  An intermediate/advanced course in Scene Design exploring the elements and principles of design as applied to live performance.  Students will explore the process of analyzing a narrative through a designer's lens, developing ideas, translating those ideas into physical elements, discuss and apply research methods and presentation techniques, ultimately designing and presenting a preliminary scenic package for a scripted narrative."
"THEA","31413","Prerequisite: Permission of instructor. An advanced course focusing on costume design through script analysis, historical and contemporary research, and character development."
"THEA","31433","This course introduces students to the elements and principles of prop design, research and execution.  Over the course of the semester, students will explore the process of script & character analysis, research & fabrication, and methods & strategies for addressing specific story challenges related to physical properties."
"THEA","31443","Prerequisite:  THEA 21413 or permission of instructor.  An advanced design course specializing in the use of lighting to enhance a theatrical production. Concentration on the aesthetic of stage lighting, design styles such as dance and busking, and programming lighting consoles. "
"THEA","31502","A laboratory dance class in musical theatre styles.  Specific styles may vary by semester.  May be repeated for credit."
"THEA","31503","Prerequisites: permission of instructor.  A course in music theory specifically designed for the issues most commonly faced in Musical Theatre."
"THEA","31512","Prerequisites: Completion of two semesters of THEA 11502 or permission of instructor.  An intermediate-level course focused on developing the song audition book, era by era, to acquaint students with technique, repertoire and professional practices.  This course may be repeated for credit."
"THEA","31513","Prerequisite:  THEA 31503 or permission of instructor.  An intermediate exploration of the components of written music crucial to the musical theatre performer, designed to assist students in understanding and applying the written language of music."
"THEA","31523","This course is designed to assist non-Musical Theatre emphasis students in expanding and honing their musical theatre performance and audition skills."
"THEA","31900","Prerequisite: Permission of instructor.  Off-campus theater internships.  May be repeated for credit."
"THEA","34990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"THEA","40173","This course is designed to teach students advanced skills in reading and understanding dramatic literature by providing a thematic study of various topics and/or writers.  This course may be repeated for credit."
"THEA","40223","Prerequisites: THEA 11243 or THEA 11203 or THEA 21413 or Permission of instructor. A project-based course focusing on established and emerging industrial technologies used in the production and execution of the performing arts. "
"THEA","41000","Prerequisites: THEA 31000 or permission of instructor.  Individual honors projects for senior theatre students who are enrolled in the TCU Honors Program."
"THEA","41001","Prerequisite: Students must be prepared to graduate by May of current academic year. Open only to BFA majors with an emphasis in Acting or Musical Theatre, or by permission of instructor. This course prepares students to enter the professional audition world of the entertainment business through a perfection of their audition acting, singing and dancing skills.  "
"THEA","41043","Prerequisite: permission of instructor.  A course for BFA Theatre majors in which they consider and explore what kinds of professional theatre careers or graduate school training they intend to pursue;  students prepare themselves for professional careers by developing such items as resumes, portfolios, audition material, and headshots."
"THEA","41113","An advanced lecture course covering the major historical periods of Western dress, focusing on the stage."
"THEA","41123","Prerequisite: Permission of instructor.  An experiential theatre course, usually taught abroad.  Students attend theatre productions and meet with theatre professionals as well as visit other cultural sites.  This course may be repeated for credit. "
"THEA","41133","A theatre history course focusing on Musical Theatre in the 19th, 20th and 21st centuries, including the development of the form, major artists who contributed to it, and seminal musical theatre works."
"THEA","41163","Prerequisite: Open only to BFA Theatre Majors, or by permission of instructor.  Devised theatre, frequently called Collective Creation, is a method of theatre making in which the script or performance score originates from collaborative, often improvisatory work by a performing ensemble.  Working from a prompt (idea, theme, or concept) our process includes five key stages; research, development, documentation, rehearsal, and performance."
"THEA","41190","Prerequisite: Permission of instructor.  A directed study in theatre occurring in London.  1-3 credits.  May be repeated for credit."
"THEA","41303","Prerequisite: THEA 31303 or permission of instructor. An advanced course in acting focused on fulfilling the performance demands of historical genres of drama, ranging from ancient Greek Tragedy to 19th Century Comedy."
"THEA","41313","Prerequisite: Open only to BFA Theatre Majors with an emphasis in Acting, or by permission of instructor. This course will explore the basic rules and moves of Hand-to-hand Unarmed Stage Combat by focusing on theory, practice, and application.  Stage Combat moves learned in this course are based on the Society of American Fight Directors' Unarmed Regulations."
"THEA","41323","Prerequisite: THEA 31363, or permission of instructor.  An advanced acting course focusing on aquiring, analyizing, and performing a variety of dialects and accents."
"THEA","41333","Prerequisite: Open only to BFA Theatre Majors with emphases in Acting, or permission of instructor.  A performance course focused on the study of acting technique related to film and television."
"THEA","41343","Prerequisite:  Open only to BFA Theatre Majors with an emphasis in Acting, or by permission of instructor.  An advanced performance course focused on the study of voice acting and through applied lessons in sound editing, voice-demo creation, audiobook & commercial narration, and acting in animated media."
"THEA","41353","Prerequisite: Open only to upper-division BFA Theatre majors with an emphasis in Acting, or by permission of instructor.  An advanced performance course focused on building a character, building a scene, playing the style, emphasizing methods of achieving truthful behavior on the stage."
"THEA","41493","Prerequisites:  THEA 21423, 21433, and or permission of instructor.  This is a practical workshop class, allowing student designers, technicians and their mentors to work together on the research and development of practical theatrical designs and technical elements in theatre.  This course may be repeated for credit."
"THEA","41503","Prerequisite: two semesters of THEA 11502, two semesters of THEA 31512, or permission of instructor.  An advanced acting/musical theatre course focusing on the refinement of performance skills and professional practices.  This course may be repeated for credit."
"THEA","41513","Prerequisites: THEA 41503 or permission of instructor.  An advanced acting course focusing on the integration of singing and acting in performance."
"THEA","41900","Prerequisite: Permission of instructor.  Independent theatre research or performance projects  1-3 credits.  May be repeated for credit."
"THEA","41910","Prerequisites: Permission of instructor.  A variety of special or one-time topics in Theatre may be covered in this class, and the format may vary including lecture, performance, activity, or research courses. 1-3 semester hours.  This course may be repeated for credit."
"THEA","41920","Prerequisite: Permission of instructor. A directed study in theatre focusing on projects in acting.  1-3 credits.  May be repeated for credit."
"THEA","41930","Prerequisite: Permission of instructor. A directed study in theatre focusing on projects in directing.  1-3 credits.  May be repeated for credit."
"THEA","41940","Prerequisite: Permission of instructor.  A directed study in theatre focusing on projects in scenic design.  1-3 credits.  May be repeated for credit."
"THEA","41950","Prerequisite: Permission of instructor.  A directed study in theatre focusing on projects in costume design.  1-3 credits.  May be repeated for credit."
"THEA","41960","Prerequisite: permission of instructor.  A directed study in theatre focusing on projects in lighting design.  1-3 credits.  May be repeated for credit."
"THEA","41970","Prerequisites: permission of instructor.  A directed study in theatre focusing on projects in production including stage management, technical direction, carpentry, costume technology, electrics, and other production topics."
"TRAN","10001","-"
"TRAN","10002","-"
"TRAN","10003","-"
"TRAN","10004","-"
"TRAN","10005","-"
"TRAN","10006","-"
"TRAN","10007","-"
"TRAN","10008","General Transfer Credit"
"TRAN","10009","General Transfer Credit"
"TRAN","10010","-"
"TRAN","10011","General Transfer Credit"
"TRAN","10111","General Transfer Credit"
"TRAN","10112","-"
"UNLF","10211","This one-hour course for first-semester students provides knowledge and skills to help students successfully transition into the academic community at TCU.  With an Instructor and Peer Guide, students in the course explore the nature and purpose of higher education, critical thinking, goal-setting, time-management and stress-management, campus resources, and learning in a diverse community, among other topics."
"UNPR","10000","General Transfer Credit"
"UNPR","10200","General Transfer Credit"
"UNPR","20000","General Transfer Credit"
"UNPR","20200","General Transfer Credit"
"UNPR","30100","General Transfer Credit"
"WGST","10200","General Transfer Credit"
"WGST","20003","This course will serve as an interdisciplinary introduction to Women and Gender Studies, focusing on major issues and theories, for which gender and sexuality provide the unifying themes.  The interactive curriculum emphasizes threshold concepts in the field of women's, gender, and sexuality studies:  the social construction of gender, sex, and sexuality; privilege and oppression; intersectionality; and feminist praxis.  Readings, service learning projects, and assignments facilitate discussion and understanding of differences in gender, race, ethnicity, age, class, sexuality, ability, and additional social identities."
"WGST","20303","An analysis of the rhetorical output of Hip Hop music and culture with a focus on various social topics including, but not limited to, race, gender, sexuality, the criminal justice system, literary devices, and identity."
"WGST","20603","Black Feminisms is an interdisciplinary introduction to central concepts grounding Black Feminism as a field of study. Inspired by the words of the Combahee River Collective, this course centers the knowledge production and study of Black girls and women taking as its central conceit that attending to Black women and girls is integral to the work of Black liberation and justice more broadly."
"WGST","30104","Prerequisites:  WGST 20003 or permission of instructor.  Drag is an art form with a rich history of challenging dominant norms and systems of oppression;building queer community; and cultivating experiences of queer joy in a hostile world; but drag has alsobeen deployed in service of violent ideologies and can sometimes participate in harmful normativelogics. Critical drag explores drag performance as an outlet for social critique, pedagogy, and queerworld making. In this class, we will explore critical histories of the queer art of drag; meet with dragperformers and experts; and craft our own drag personas to debut at TCU¿s annual Night of Drag."
"WGST","30193","Prerequisites:  WGST 20003.  This course will serve as an introduction to the diverse theories, political movements, histories, identities, and arts that could be called queer.  In this class, students will utilize queer theories to better understand and respond to the complex systems of marginalization, violence, and privilege that organize our social worlds today and to better understand our own positionality within those systems."
"WGST","30203","Prerequisites:  WGST 20003 or CRES 10103.  This interdisciplinary course examines mass movements from an intersectional perspective, emphasizing how intersecting social identities (e.g. race, gender, sexuality, class, ability, citizenship status, etc.) influence how systemic oppressions are experienced and, thus, should shape the social economic, and political interventions employed in the name of social justice.  The course incorporates empirically grounded and theoretical scholarship from multiple disciplines to consider diverse methods of mass movement organizing and mobilization on the local and/or global levels to shift power and privilege dynamics.  Students will examine the philosophical, relational and logistical barriers to undertaking social justice organizing and activism, develop technical skills for building consensus across difference, and design their own organizing campaigns."
"WGST","30303","Prerequisites:  Any WGST-prefix or attribute course OR any CRES-prefix or primary attribute course.  An interdisciplinary course exploring the feminist theories, traditions, activisms, discourses, and praxes of women of color in a US context.  Using an intersectional approach, the course examines how race, class, gender, sexuality, citizenship status, ability, religion, and other markers of identity create complex systems of marginalization in the lives of women of color in the United States.  Students will analyze the contributions US women of color have made to contemporary feminist thought and how these theories have influenced their activism."
"WGST","30313","Prerequisites:  CRES 20203 or WGST 20003.  This course will introduce students to the central tenets of reproductive justice through engaging key voices, organizations, and various dynamics of this movement. This course is also concerned with what this movement means in larger historical contexts and alongside other social movements."
"WGST","30403","This interdisciplinary course considers the fundamental place of gender and sexuality in shaping a range of cultural narratives and examines how various movements related to gender and sexuality have been constructed, contextualized, and regulated in different parts of the world.  The course analyzes the gendered dimensions of complex phenomenon such as colonialism, globalization, and capitalism and situates liberal Western feminism's history and contemporary articulation within global systems of power.  Students will develop an analytical framework for examining the intersections of social justice, transnational identities, and feminism."
"WGST","30413","Since the late 19th century, sexuality, morality, and race have been the dominant frames through which the U.S. government has attempted to contain and categorize migrant bodies.  This class examines how border regimes produce and discipline sexuality and the body through medical examinations, quarantine, policing, and law.  Starting with late 19th century policies of exclusion and restriction, we will examine how the policing of sexualities at the border persisted through more liberal periods of migration, ending with discussions of migrant policy today."
"WGST","30503","Prerequisites:  WGST 20003.  This seminar is designed for students completing the TCU Women & Gender Studies major, minor, or emphasis.  As an upper-division course, it will involve a heavy dose of critical thinking, reading, and writing; consider the history, theories, and methodologies of the field; and assume a high level of student discussion.  This course will trace significant feminist, queer, and gender studies histories and explore the impact these diverse traditions have on praxis in a variety of settings (activist, professional, political, interpersonal)."
"WGST","30903","Special topics in Women and Gender Studies. Topic, method, and theme will vary from semester to semester. Students may take more than one Special Topics class as long as they are different themes."
"WGST","30973","Prerequisite: permission of instructor.  Directed study in women and gender studies.  Topic, method, and theme will vary from semester to semester."
"WGST","30990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"WGST","31003","Prerequisites:  Junior standing as a WGST emphasis, minor, or major and be enrolled in the Honors College.  Independent projects on a topic relevant to Women & Gender Studies.  Focus of project to be determined in consultation with WGST affiliate faculty member."
"WGST","40003","Prerequisite:  WGST 20003 or any two courses approved for the minor/emphasis in Women and Gender Studies.  This course explores research, theory, praxis, and activism in the field of women and gender studies.  Students read classic and contemporary works and complete a theorized research, creative, or activist project employing feminist methodologies."
"WGST","40503","Prerequisites:  WGST 50103.  This course is designed for students completing the BA, BS, or minor in Women & Gender Studies."
"WGST","41003","Prerequisites:  Senior standing as a WGST emphasis, minor, or major and be enrolled in the Honors College.  Independent projects on a topic relevant to Women and Gender Studies.  Focus of project to be determined in consultation with WGST affiliate faculty member."
"WGST","49003","Internships (usually local in Tarrant County) arranged with the consent of the Director of the Women and Gender Studies Program for declared minors, taken on a strictly Pass/No Credit basis.  (3 semester hours)."
"WGST","50103","Prerequisites:  WGST 20003.  This interdisciplinary course considers key concepts in contemporary feminist theories as they are applied in praxis.  Drawing on readings from a range of feminist scholarly traditions, students carry out inquiry projects grounded in key historical trends and social issues linked to the study of gender and sexuality in varying cultural contexts."
"WRIT","20113","Principles, techniques, and skills needed for writing in scientific, technical, or other professional settings.  Focus on the genres necessary to make decisions and take action in the workplace, such as proposals, reports, instructions, correspondence, policies and procedures, and descriptions of products and services.  Practice individual and collaborative processes involved in the creation of ethical and efficient documents, with emphasis on the dynamics of leadership in professional contexts."
"WRIT","20303","Students explore the rhetorical dimensions of writing within and about games, considering both how games are a form of writing and writing hybridizes genre conventions.  While both games and writing have long been important elements of culture, students in this class will come to a better understanding of how the two are mutually informative.  Students will consider how games inform writing, how writing informs games, and how both games and writing compose the world at large."
"WRIT","20313","Study of social protest movements and their persuasive strategies.  Rhetorical analysis of the forms and functions of dissent, agitation, resistance, and control."
"WRIT","20323","An introduction to authoring with multiple digital modes: image, sound, and video.  By incorporating rhetorical concepts such as audience, context, and persuasive appeals, students gain a basic experience of multimodal composition while investigating and/or advocating as citizens.  This course does not require any previous experience with these modes or digital technologies."
"WRIT","20333","An introduction to the ways in which social organizations, technology, and language influence one another."
"WRIT","20343","An exploration of the rhetorical strategies by which science is integrated into our lives.  This course will demonstrate how scientific realities are rhetorically and socially constructed at the intersection of science and citizenship.  Students will examine the complex relationships between science, faith, racism, and social justice and will attend to how economic, sexual, racial, or ability differences may intersect with issues like environmental justice or access to healthcare."
"WRIT","20353","Prerequisites:  ENGL 10803.  Students examine Black communicative histories in the identities of Black activist groups, performers, artists, and public leaders. Students identify persuasive and linguistic strategies of multiple public texts that have channeled the racial justice issues of their time.  They reframe key themes in communication studies as they imagine democracy from the context of Black freedom struggles in the United States. "
"WRIT","20833","This course is designed as an introduction to coding for students in the Humanities and/or the Digital Culture and Data Analytics (DCDA) Minor.  Hence, students will be introduced to the basics of a computer programming language (such as Python or R) as it pertains to the intellectual, cultural, and creative work central to the Humanities."
"WRIT","30013","Course meets to support students' independent distinction projects in literature and writing."
"WRIT","30203","Prerequisites: ENGL 10803 or 10833, and ENGL 20803 or 20833.  A rhetorical analysis of cities, parks, memorials, planned communities and civic discourse in and around what gets composed as an urban text.  From a rhetorical perspective, this course will explore the historical, social, cultural and racial texts constructed in the urban environment which shape our sense of citizenship and identity in both public and private contexts.  Examines current trends and topics in the American urbanscape."
"WRIT","30213","Prerequisites: ENGL 10803 or 10833, ENGL 20803 or 20833.   Writing workshop that builds on lower division composition courses by focusing on the analysis and production of texts written for specific rhetorical situations and discourse communities.  Emphasis on new writing contexts and contemporary writing genres whether for academic, professional, creative, or personal purposes."
"WRIT","30223","Prerequisites: ENGL 10803 and either ENGL 20803, or WRIT 20113.  A course in practical communication with a concentration on topics in technical writing and information design, including oral presentations and use of visual materials and digital tools.  Assignments are tailored to fit students' major fields and professional interests.  Student cannot receive credit for WRIT 55223 and WRIT 30223."
"WRIT","30243","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Appropriation of the vocabulary, taxonomies, and strategies of classical and modern rhetoric for the purposes of critical inquiry into contemporary communication and behavior.  Student cannot receive credit for WRIT 55663 and WRIT 30243."
"WRIT","30253","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  An introduction to the ideas, issues and individuals that shaped rhetoric and its relationship to literature and poetics, including the relationship between orality and literacy, the impact of cultural and religious views on discourse, and the role of technology in communication.  Student cannot receive credit for WRIT 55253 and WRIT 30253."
"WRIT","30263","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  Analysis of the ways in which writers deploy vocabulary and syntax to create a prose voice that is responsive to the demands of audience, purpose, and occasion."
"WRIT","30273","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  Analysis of the logic by which writers construct arguments; analysis of the various means that writers use to persuade an audience; practice in writing one's own argumentative and persuasive discourse."
"WRIT","30283","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  This course will investigate issues related to cyberliteracy: what it means to read, write, communicate, and make knowledge in a digital world.  In particular, the course will consider how computer technologies challenge traditional notions of literacy, identity, and community."
"WRIT","30293","Non-Human Rhetoric and Representation challenges students to reevaluate non-human actors by interrogating a variety of theoretical, literary and filmic texts, including theory, fiction, documentary, and children's literature."
"WRIT","30390","Prerequisites: ENGL 10803 or 10833, and 20803 or 20833.  A 1.5 hour credit course intended for students with an interest in publication and basic web design.  Students in the course will work in every stage of the production of a least one of the English department's print or digital publications.  Specifically, students will gain knowledge of and experience in (1) the history and purpose of the publication's genre, (2) the selection, editing, and proofing of the publication's drafts, (3) the publication's layout and the design, and (4) the distribution and promotion of the completed product.  Students will also receive practical training with relevant publishing and design software.  This course may be repeated for credit."
"WRIT","30603","Prerequisites:  ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  This course explores the characteristics, affordances, and effects of social media as rhetoric, with special attention to the ways in which the uniquely digital qualities of social media such as speed, interactivity, anonymity, remix, and networked circulation complicate the traditional rhetorical situation of rhetor, audience, text, and context.  Student cannot receive credit for WRIT 55153 and WRIT 30603."
"WRIT","30613","Prerequisites:  ENGL 20803.  Students will write their own texts in multiple genres and carry out rhetorical analysis of writing that addresses questions about cultural differences--across individual identities, within various communities, and in connection with social issues.  Strategies writers use to engage with intersectional domains such as race, ethnicity, social class, gender, regionalism, national vision, and other social affiliations will be examined.  Addresses the Rhetoric & Culture category for Writing majors and the Writing category for English majors.  Student cannot receive credit for WRIT 55163 and WRIT 30613."
"WRIT","30623","Prerequisites:  ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  This course uses rhetorical theory to analyze competing discourses of American identities, including how America and Americans are defined, which identities (of race, ethnicity, sexuality, ability, religion, etc.) are deemed 'un-American,' who controls those definitions, and the rhetorical strategies by which they are reinforce or challenged.  Individual sections may focus on particular issues, genres, and/or time periods."
"WRIT","30663","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Women's Rhetorics will explore the ways in which women use language t persuade in both public and private spheres. The course will use rhetorical theory to study a variety of primary texts by women representing a range of historical periods from Classical times to the present, with special attention to both traditional rhetorical genres (speeches, letters, sermons, editorials) and nontraditional texts (quilts, recipe books, blogs, performance art).  Student cannot receive credit for WRIT 55623 and WRIT 30663."
"WRIT","30803","Prerequisites: ENGL 10803 and ENGL 20803.  A study of theories of cinema as text in the humanities, including areas such as analytic approaches to film, rhetorical approaches to film, and/or film criticism.  Course includes an integrated lab for viewing required films."
"WRIT","30813","Prerequisites: ENGL 10803 or 10833, and ENGL 20803 or 20833.  This course examines the history of the book from the perspectives of producers and consumers.  It includes the social and cultural significance of print culture, analyzing print technology as a mass media capable of shaping human attitudes.  As readers move from the printed page to the computer screen, all areas of traditional print culture are changing as well, including the most basic concepts of what it means to be a writer, reader, and publisher.  This course may include a lab component."
"WRIT","30893","Prerequisite:  ENGL 20803  Critical examination of how digital authorship technologies impact and are changed by cultural identities, especially with inclusivity with regard to race, class, gender , sexual identity, and ability."
"WRIT","30990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"WRIT","38063","Prerequisites: Writing majors and minors only; students must have junior or senior standing and must have completed one 30000-level ENGL/WRIT/CRWT course.  Introduces Writing majors and minors to a sustained, long-format research project over the course of the semester.  Students will examine and practice disciplinary conventions in the context of future career possibilities and/or graduate school by also preparing a professional portfolio designed for an external audience.  Student cannot receive credit for WRIT 55733 and WRIT 38063."
"WRIT","40013","Independent study to complete a distinction project in literature or writing."
"WRIT","40163","Investigates the relationship between new media, culture, and design, with particular emphasis on mulimodal, interactive texts.  Course emphasizes concepts in rhetoric, multimedia, and authorship in digital environments.  Students design and compose a variety of multimedia products incorporating print, image, and other modes."
"WRIT","40233","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  A survey of the possibilities of writing for magazine publication and the construction of essays and articles for specific markets."
"WRIT","40243","Prerequisites: ENGL 10803 and either ENGL 20803 or WRIT 20113.  An advanced course in writing, rhetoric, and design appropriate to diverse professions (e.g., law, medicine, engineering, social work).  Students analyze, and write for, particular audiences in terms of their genre conventions, content expectations, and language dynamics."
"WRIT","40253","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  The nature of persuasive discourse and social movements involving propaganda explored through illustrations and theories that facilitate their understanding."
"WRIT","40263","Prerequisites: ENGL 20803 and one 20000-level CRWT or WRIT course. An intermediate-to-advanced course on the authoring of multimedia texts, with a focus on moving images, including animation, film, and video. Course emphasizes concepts in rhetoric, multimedia, and authorship in digital environments. Students design and compose a variety of multimedia products incorporating moving images, sound, text, and other modes. Student cannot receive credit for WRIT 55263 and WRIT 40263."
"WRIT","40273","Prerequisites: 60 credit hours; major GPA of 3.0 or Cum GPA of 2.8 minimum; approval of the department. Students place themselves with agencies in publishing or related fields for workplace experience.  Duties, varied to fit the needs and opportunities associated with the participating agencies, generally include writing, editing, and production of published documents.  Course may be repeated once for credit."
"WRIT","40283","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  Introduces students to the practice of editing manuscripts intended for publication.  Topics include the editorial process (both academic and commercial), the ethics of editing, and the role of the editor in publishing.  Students will engage in extensive editing practice of journal and book manuscripts.  Student cannot receive credit for WRIT 55283 and WRIT 40283."
"WRIT","40333","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  Explores the role of language in human communication and culture, with attention to the implications of language ideologies to various forms of communicative interaction.  Review and critique of theories of language and communication as a social and political phenomena."
"WRIT","40363","Explores the complex relationship between new media, culture, and design, with particular emphasis on the production of mobile applications and eBooks publications.  Course emphasizes concepts in rhetoric, multimedia, and authorship in digital environments.  Students design and compose a variety of multimedia products incorporating print, image, and other modes.  Student cannot receive credit for WRIT 55743 and WRIT 40363."
"WRIT","40373","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  Analysis of the nature of revolutionary discourse with attention to the logic, arguments, and persuasive appeals of written works and rhetorical performances."
"WRIT","40463","Prerequisites: ENGL 20803.  Explores the complex relationship between new media, culture, and design, with particular emphasis on comics and graphic narratives.  Course emphasizes concepts in rhetoric, multimedia, and authorship in print and digital environments.  Students design and compose a variety of multimedia projects incorporating image and text (drawn and digitally manipulated).  Student cannot receive credit for WRIT 55753 and WRIT 40463."
"WRIT","40563","Explores the complex relationship between new media, culture, and design, with particular emphasis on the production of sound and podcasting.  Course emphasizes concepts in rhetoric, multimedia, and authorship in digital environments.  Students design and compose a variety of multimedia products incorporating sound, print, image, and other modes."
